"AKR","ìXï‹ñº","ì˙ït","ìVãC","îÑè„","ñ⁄ïWíBê¨ó¶","ëOîNìØójì˙î‰","ãqêî","ãqíPâø","êlåèîÔó¶","å¥âøó¶"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-01","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-02","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-03","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-04","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-05","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-06","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-07","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-08","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-09","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-10","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-11","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-12","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-13","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-14","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-15","","3286","0.0%","0.0%","3","1095","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-16","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-17","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-18","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-19","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-20","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-21","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-22","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-23","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-24","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-25","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-26","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-27","","232","0.0%","0.0%","1","232","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-28","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-29","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-30","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2019-12-31","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-01","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-02","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-03","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-04","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-05","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-06","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-07","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-08","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-09","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-10","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-11","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-12","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-13","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-14","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-15","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-16","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-17","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-18","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-19","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-20","","0","0.0%","0.0%","0","0","0.0%","0.0%"
"AKR5926017413","Ç–Ç∆ÇœÇÒçHñ[","2020-01-21","","0","0.0%","0.0%","0","0","0.0%","0.0%"
